token,frequency
family destination if,1
destination if you,1
you are nearby,1
nearby the you,1
can try where,1
try where english,1
where english breakfast,1
breakfast is available,1
is available located,1
available located in,1
an excellent japanese,1
offers italian meals,1
italian meals near,1
meals near in,1
no children offers,1
children offers small,1
offers small plates,1
small plates they,1
plates they have,1
they have excellent,1
serving place is,1
the pub sell,1
pub sell good,1
sell good economic,1
good economic sushi,1
economic sushi but,1
sushi but not,1
not familiar this,1
familiar this north,1
this north of,1
riverside italian called,1
italian called meals,1
called meals cost,1
low price order,1
price order from,1
order from in,1
for adults a,1
adults a restaurant,1
serves meals costing,1
£20 a kid,1
a pricier and,1
pricier and child,1
child friendly option,1
friendly option try,1
option try restaurant,1
but the friendly,1
the friendly atmosphere,1
and good serves,1
good serves is,1
serves is worth,1
worth it the,1
it the pub,1
5 called and,1
as sushi it,1
family oriented so,1
oriented so bring,1
bring your families,1
your families over,1
families over is,1
over is restaurant,1
is restaurant well,1
restaurant well loved,1
by the public,1
the public is,1
public is an,1
friendly found riverside,1
found riverside and,1
riverside and prices,1
it serves averagely,1
serves averagely rated,1
a night away,1
night away from,1
kids is serving,1
is serving great,1
serving great indian,1
riverside which does,1
a terrible customer,1
terrible customer rating,1
has dishes which,1
meals cost £20-£25,1
cost £20-£25 they,1
£20-£25 they do,1
they do fast,1
do fast food,1
shop called specialized,1
called specialized in,1
family-friendly in less,1
is it family-friendly,1
it family-friendly no,1
family-friendly no and,1
no and has,1
friendly italian located,1
30 pounds above,1
pounds above average,1
£30 on riverside,1
than £20 check,1
£20 check out,1
's near price,1
is great with,1
great with a,1
price its located,1
high priced quality,1
priced quality meals,1
quality meals is,1
cuisine know for,1
know for excellent,1
for excellent customer,1
rated and exclusively,1
and exclusively priced,1
exclusively priced serves,1
not allowed try,1
allowed try an,1
city centre name,1
centre name has,1
name has high,1
a fair-priced local,1
fair-priced local venue,1
local venue on,1
city centre when,1
centre when looking,1
the place customer,1
a three-star mid-range,1
three-star mid-range sushi,1
mid-range sushi restaurant,1
near they allow,1
allow children however,1
children however they,1
they are pricey,1
are pricey and,1
pricey and have,1
pricing located northwest,1
northwest of is,1
of 5. as,1
5. as well,1
well as that,1
as that it,1
food come now,1
come now to,1
now to japanese,1
to japanese grill,1
japanese grill at,1
grill at riverside,1
a 20 dollar,1
dollar meal located,1
of 5 take,1
5 take your,1
to the averagely,1
rated and indian,1
french venue prices,1
venue prices are,1
do not like,1
not like children,1
like children provides,1
river is coffee,1
but offers average,1
30 euros customer,1
euros customer rating,1
for italian restaurant,1
river for coffee,1
serves breakfast serves,1
breakfast serves fast,1
its customers 5,1
customers 5 stars,1
high priced serving,1
5. children not,1
not allowed price,1
allowed price range,1
coffee shop earned,1
shop earned an,1
and has meals,1
has meals for,1
pounds has japanese,1
friendly near restaurant,1
friendly spot has,1
place called french,1
called french restaurant,1
£30 low customer,1
food it not,1
it not family,1
want some coffee,1
some coffee with,1
a good view,1
good view and,1
view and kid,1
is the right,1
the right place,1
right place for,1
named is children-friendly,1
food serving the,1
serving the best,1
children welcome it,1
and the featuring,1
the featuring fast,1
pound range english,1
5 near named,1
high located close,1
river serves mid-prices,1
serves mid-prices french,1
mid-prices french cuisine,1
friendly its is,1
its is by,1
from 20-25 family,1
20-25 family friendly,1
shop gives french,1
gives french food,1
reputation near is,1
take out it,1
center the city,1
centre 's 5,1
's 5 star,1
second visit on,1
visit on the,1
rating and cost,1
the £20 the,1
restaurant for high,1
try a non,1
shop with mixed,1
with mixed reviews,1
mixed reviews is,1
riverside cheap fast,1
riverside is available,1
available in near,1
friendly cheap location,1
cheap location with,1
star facility available,1
your use with,1
use with wine,1
with wine cheese,1
and fruit served,1
fruit served there,1
has excellent location,1
excellent location next,1
location next to,1
river offering low,1
low it scores,1
rating for chinese,1
low budget restaurant,1
budget restaurant close,1
city called that,1
is kid-friendly there,1
non-kid-friendly restaurant named,1
reasonably priced family-friendly,1
friendly serves family,1
hotel the family,1
near is over,1
over priced and,1
non family-friendly eatery-,1
family-friendly eatery- with,1
eatery- with a,1
the a fast-food,1
place the sells,1
the sells burger,1
sells burger and,1
fries for a,1
to sells japanese,1
range moderate offers,1
moderate offers good,1
value italian cuisine,1
not friendly in,1
serves italian pub,1
with kid called,1
kid called with,1
the £20 -£25,1
£20 -£25 price,1
-£25 price range,1
friendly the with,1
italian restaurant names,1
names has high,1
ratings italian restaurant,1
friendly eatery restaurant,1
eatery restaurant which,1
which provides both,1
provides both eat,1
both eat in,1
eat in and,1
in and take,1
cost with great,1
with great indian,1
pounds and high,1
ratings try is,1
specializes in wine,1
in wine pairings,1
is called italian,1
called italian food,1
children-friendly located along,1
not family-friendly good,1
family-friendly good sushi,1
good sushi does,1
sushi does n't,1
n't have to,1
have to cost,1
to cost the,1
cost the earth,1
the earth in,1
earth in the,1
adults and serves,1
called serves inexpensive,1
serves inexpensive japanese,1
cheap chinese family,1
new pub just,1
pub just opened,1
just opened the,1
opened the prices,1
moderate and do,1
do n't worry,1
n't worry it,1
worry it 's,1
is its name,1
its name and,1
name and it,1
kids-friendly place to,1
customers restaurant in,1
£20 this family,1
area the high,1
from about 20-25,1
about 20-25 euros,1
20-25 euros offering,1
euros offering english,1
centre near city,1
centre based coffee,1
£30 pub earned,1
pub earned a,1
riverside area amazing,1
area amazing french,1
children allowed a,1
allowed a good,1
is '__slot_con_det_name__ with,1
friendly near '__slot_con_near__,1
five is near,1
£20 indian coffee,1
restaurant near give,1
near give a,1
a try i,1
try i has,1
stars the italian,1
italian pub gets,1
from customers with,1
prices ranging in,1
a public french,1
public french food,1
food rating 5,1
shop named '__slot_con_det_name__,1
named '__slot_con_det_name__ near,1
'__slot_con_det_name__ near which,1
£25 high price,1
children friendly dine,1
friendly dine here,1
here for more,1
than £30 situated,1
its customers highly,1
rated offers indian,1
restaurant which you,1
which you will,1
to be paying,1
be paying more,1
paying more than,1
euros a french,1
venue offers prices,1
offers prices ranging,1
hotel and provides,1
atmosphere with hamburger,1
with hamburger and,1
hamburger and fries,1
and fries offerings,1
fries offerings is,1
offerings is a,1
city centre zizzi,1
centre zizzi is,1
zizzi is a,1
class restaurant in,1
cheap has great,1
food kids love,1
kids love it,1
it there 's,1
a family indian,1
called i must,1
i must warn,1
must warn you,1
warn you that,1
that it 's,1
's rated quite,1
rated quite badly,1
quite badly though,1
badly though is,1
a high-end place,1
high-end place to,1
to dine in,1
area nearby near,1
nearby near in,1
is family coffee,1
range priced is,1
of riverside looking,1
area by in,1
around £20-25 if,1
rated offers up,1
up french fare,1
ratings providing english,1
children-friendly and also,1
and also rated,1
also rated average,1
shop environment just,1
a high-rated french,1
high-rated french restaurant,1
will enjoy great,1
enjoy great asian,1
shop is outside,1
it sells its,1
sells its food,1
its food at,1
mid-level prices for,1
eats and fast,1
food join us,1
us at is,1
near not recommended,1
than 30 pub,1
30 pub near,1
kid friendly even,1
friendly even thought,1
even thought it,1
thought it is,1
priced the average,1
area a fine,1
experience that you,1
can enjoy wines,1
enjoy wines of,1
wines of all,1
of all sorts,1
all sorts and,1
sorts and cheese,1
and cheese 5,1
cheese 5 stars,1
stars and close,1
£30 a 1,1
food a children-friendly,1
children-friendly japanese coffee,1
near its now,1
its now rated,1
now rated named,1
rated named is,1
stars in rating,1
in rating there,1
family restaurant not,1
far from has,1
5-star rating a,1
rating a new,1
providing italian foods,1
italian foods and,1
low rating because,1
of town conveniently,1
town conveniently located,1
conveniently located among,1
located among other,1
among other shops,1
person has high,1
establishment has higher-priced,1
has higher-priced chinese,1
higher-priced chinese food,1
a 1-star restaurant,1
1-star restaurant has,1
has a lot,1
lot to choose,1
choose from for,1
from for the,1
they offer coffee,1
area a high,1
and is french,1
which is highly-rated,1
is highly-rated but,1
highly-rated but not,1
eat is called,1
end venue riverside,1
venue riverside that,1
not family-friendly lets,1
family-friendly lets go,1
lets go eat,1
go eat at,1
pub i know,1
i know called,1
know called and,1
yes its perfect,1
its perfect for,1
kids and prices,1
price range comes,1
range comes the,1
comes the the,1
and serves low-rated,1
serves low-rated chinese,1
low-rated chinese at,1
chinese at high,1
near riverside offers,1
french meals and,1
location named and,1
range is serving,1
english breakfast suitable,1
breakfast suitable for,1
has french at,1
to eat pub,1
eat pub offers,1
pub offers burgers,1
non-children friendly pub,1
pub serving high-priced,1
serving high-priced indian,1
area riverside serve,1
riverside serve breakfast,1
and is one,1
of the highest,1
highest rated restaurants,1
rated restaurants in,1
high rating priced,1
rating priced 20-25pounds,1
priced 20-25pounds and,1
20-25pounds and is,1
priced food called,1
near a more,1
a more luxurious,1
more luxurious venue,1
luxurious venue in,1
moderate restaurant near,1
to and riverside,1
rated and also,1
also family-friendly the,1
family-friendly the kid,1
bar located beside,1
beside and offers,1
and a mature,1
mature setting coffee,1
is its french,1
its french menu,1
providing a medium,1
joint near is,1
venue with moderate,1
ratings a good,1
to get low,1
priced sushi without,1
provides sushi there,1
average reviews just,1
reviews just east,1
chinese food 5,1
star oriental food,1
oriental food at,1
centre sells average,1
sells average costing,1
average costing breakfast,1
costing breakfast has,1
breakfast has the,1
price great for,1
little expensive it,1
expensive it does,1
a 5-star expensive,1
5-star expensive sit-down,1
expensive sit-down restaurant,1
family this 3,1
establishment offers pricey,1
offers pricey burgers,1
pricey burgers fries,1
drinks located north,1
great cheap take,1
cheap take out,1
out restaurant called,1
located near food,1
near food given,1
given in english,1
in english medium,1
english medium prices,1
is family-friendly went,1
family-friendly went to,1
went to the,1
riverside and ate,1
and ate indian,1
ate indian food,1
it costs £8,1
costs £8 he,1
£8 he did,1
he did n't,1
did n't want,1
to be rude,1
be rude but,1
rude but he,1
near serves reasonable,1
price a low,1
rating restaurant offering,1
rating an not,1
an not family-friendly,1
family-friendly then got,1
then got to,1
got to located,1
rating pub with,1
pub with less,1
low prices low,1
prices low ratings,1
price is closely,1
is closely located,1
closely located to,1
located to a,1
to a expensive,1
expensive side features,1
side features chinese,1
families a family-friendly,1
from the an,1
area with £20-25,1
with £20-25 priced,1
£20-25 priced entrees,1
priced entrees look,1
entrees look no,1
further than this,1
than this coffee,1
satisfaction rating serves,1
rating serves an,1
serves an excellent,1
an excellent steak,1
excellent steak and,1
steak and eggs,1
customer ratings costs,1
ratings costs more,1
has average english,1
of riverside its,1
riverside its excellent,1
its excellent family,1
excellent family place,1
prices the high,1
food that caters,1
caters to kid,1
friendly customers is,1
price range i,1
range i is,1
i is located,1
than 20 if,1
20 if you,1
prices and visit,1
and visit rated,1
visit rated 1,1
prices is available,1
pub where customers,1
restaurant is considered,1
be more adult,1
more adult oriented,1
food it customer,1
it customer ratings,1
is low adults,1
low adults only,1
adults only at,1
only at this,1
at this cheap,1
this cheap restaurant,1
moderate-priced restaurant on,1
the place where,1
and have wine,1
have wine at,1
wine at the,1
at the same,1
the same time,1
same time located,1
time located on,1
near serves american,1
american food with,1
rating serves the,1
serves the classic,1
the classic menu,1
classic menu of,1
menu of hamburgers,1
of hamburgers french,1
fries and refreshments,1
and refreshments is,1
refreshments is a,1
near provides high,1
for children check,1
ratings for cheap,1
less near of,1
friendly serves inexpensive,1
inexpensive but low-rated,1
but low-rated indian,1
indian dishes an,1
in cost but,1
star review go,1
review go see,1
go see with,1
see with a,1
or 5 in,1
as high there,1
riverside pub named,1
a kid-friendly highly,1
rated average price,1
family-friendly environment that,1
the riverside boasting,1
riverside boasting its,1
boasting its 5,1
for the second,1
the second straight,1
second straight year,1
straight year is,1
year is a,1
20 is the,1
to be if,1
be if your,1
if your wanting,1
your wanting fast,1
wanting fast food,1
the riverside one-star,1
riverside one-star restaurant,1
one-star restaurant with,1
restaurant with traditional,1
with traditional english,1
riverside views it,1
views it 's,1
rating with low,1
prices and offers,1
variety of choices,1
of choices for,1
choices for the,1
for the customer,1
the customer is,1
modestly priced food,1
priced food from,1
from a variety,1
variety of cuisines,1
of cuisines its,1
cuisines its customer,1
is poor the,1
poor the is,1
and family-friendly italian,1
a high-cost restaurant,1
high-cost restaurant located,1
fairly expensive with,1
expensive with prices,1
with prices going,1
prices going above,1
above £30 coffee,1
5 prices are,1
£20-25 riverside are,1
riverside are offers,1
are offers a,1
a fine dinning,1
fine dinning italian,1
dinning italian restaurant,1
restaurant a high-priced,1
customers and offer,1
for family although,1
family although its,1
more than £30and,1
than £30and is,1
£30and is children,1
while being family,1
located near affordable,1
near affordable and,1
can find public,1
find public house,1
house serving basic,1
serving basic fast,1
basic fast food,1
poor ratings has,1
to visit if,1
find a babysitter,1
a babysitter to,1
babysitter to look,1
to look after,1
look after the,1
after the kids,1
low rating highly,1
and boasts an,1
rate the moderately-priced,1
the moderately-priced 1,1
is kids-friendly a,1
kids-friendly a kids,1
serving meals between,1
meals between £20-25,1
£20-25 is is,1
near kids and,1
adults alike will,1
alike will enjoy,1
enjoy the restaurant,1
restaurant for fresh,1
for fresh flavorful,1
fresh flavorful italian,1
flavorful italian food,1
serves british-style food,1
british-style food restaurant,1
the family-friendly location,1
family-friendly location serves,1
location serves a,1
and alcohol for,1
alcohol for an,1
price customers review,1
customers review this,1
review this location,1
this location as,1
location as 3,1
three star cheap,1
a italian children,1
rated restaurant at,1
restaurant at one,1
one can grab,1
grab a burger,1
fries and relax,1
and relax with,1
relax with friends,1
highly recommended family,1
with a water,1
a water view,1
water view is,1
an expensive british,1
reviews is in,1
exceeding £30 come,1
restaurant for fine,1
cuisine at mid-range,1
mid-range prices you,1
to offers english,1
high price their,1
price their average,1
their average customer,1
friendly its customers,1
give it average,1
ratings serves cheap,1
food within moderate,1
within moderate prices,1
moderate prices no,1
prices no kids,1
pub the popular,1
the popular kid,1
popular kid friendly,1
centre costing £20-25,1
costing £20-25 is,1
american restaurant near,1
great reviews beer,1
reviews beer and,1
beer and wine,1
and wine pub,1
wine pub located,1
river pub a,1
pub a expensive,1
a expensive 3,1
star place to,1
to relax is,1
relax is a,1
kid-friendly establishment serving,1
price range mid,1
range mid priced,1
moderate range there,1
also near from,1
near from the,1
the famous there,1
famous there is,1
river bank called,1
bank called families,1
then 20 located,1
riverside the not,1
to has fast,1
food along riverside,1
along riverside and,1
average-priced coffee that,1
coffee that serves,1
location receives a,1
from customers japanese,1
customers japanese food,1
expensive child-friendly restaurant,1
moderate ratings good,1
ratings good with,1
good with the,1
the children too,1
children too chinese,1
too chinese restaurant,1
a range in,1
£20-25 serves italian,1
city that amazing,1
that amazing food,1
restaurant is conveniently,1
conveniently located steps,1
located steps away,1
from the no,1
the no minors,1
minors allowed not,1
allowed not family,1
area for reasonably,1
priced food visit,1
their customers rate,1
rate them with,1
them with 3,1
stars high price,1
area with excellent,1
5 and reasonably,1
at about 30,1
and up a,1
up a city,1
pounds near serves,1
near located neat,1
located neat is,1
which provides average,1
provides average customer,1
average customer services,1
customer services and,1
services and is,1
family-friendly it 's,1
average ratings restaurant,1
ratings restaurant provides,1
restaurant provides traditional,1
provides traditional english,1
not a choice,1
a choice for,1
for family they,1
family they provide,1
next to down,1
to down by,1
is pub but,1
pub but i,1
but i do,1
i do n't,1
n't recommend eating,1
recommend eating there,1
eating there a,1
there a nice,1
a nice inexpensive,1
nice inexpensive place,1
family is it,1
to provides indian,1
range a rating,1
of 5 kids-friendly,1
5 kids-friendly and,1
kids-friendly and close,1
specializing in spaghetti,1
friendly near nearby,1
near nearby is,1
an american pub,1
american pub named,1
families a gastro,1
a gastro pub,1
gastro pub named,1
moderately priced meal,1
priced meal there,1
meal there 's,1
centre near italian,1
near italian pub,1
pub has food,1
low a riverside,1
with dishes that,1
dishes that will,1
that will meet,1
will meet your,1
meet your liking,1
your liking and,1
liking and wallet,1
and wallet will,1
wallet will like,1
will like you,1
like you to,1
you to serves,1
out five by,1
rated inexpensive city,1
inexpensive city centre,1
city centre aimed,1
centre aimed towards,1
£20 but no,1
catered for is,1
in cheap family,1
is of an,1
riverside for adults,1
adults only has,1
only has no,1
has no food,1
no food for,1
than £20 other,1
£20 other than,1
other than french,1
than french toast,1
french toast which,1
toast which can,1
can be sold,1
be sold near,1
riverside where the,1
where the rating,1
is not low,1
a high-price pub,1
high-price pub serving,1
is okay but,1
okay but is,1
family-friendly restaurant rated,1
5 points and,1
points and conveniently,1
star rated sushi,1
range place located,1
riverside near sited,1
near sited near,1
a rating or,1
5 its a,1
shop and meals,1
italian meals for,1
meals for under,1
rated it 's,1
it 's nearby,1
's nearby to,1
nearby to the,1
moderate serving cheap,1
serving cheap average,1
high the area,1
area where it,1
're not friendly,1
a 5star english,1
5star english pub,1
£20-25 riverside has,1
has some fine,1
some fine dining,1
fine dining near,1
dining near it,1
's also cost,1
also cost effective,1
cost effective if,1
effective if you,1
go is rated,1
a café by,1
café by the,1
named this place,1
centre serve indian,1
rating costing less,1
called has low,1
serves cheap coffee,1
highly priced this,1
range customers are,1
customers are prepared,1
are prepared to,1
pay above average,1
an excellent reputation,1
excellent reputation it,1
reputation it is,1
shop a family-friendly,1
restaurant has attained,1
has attained low,1
attained low customer,1
indian cuisine though,1
cuisine though the,1
average priced if,1
area visit also,1
visit also serves,1
also serves fantastic,1
serves fantastic english,1
fantastic english foods,1
english foods at,1
medium price you,1
price you will,1
reasonable prices has,1
does have low,1
customer rating be,1
rating be cautious,1
be cautious provides,1
cautious provides indian,1
review rating it,1
families with very,1
with very cheap,1
that is centrally,1
with low rate,1
low rate this,1
whole family fast,1
and cheap a,1
cheap a family,1
chinese restaurant costing,1
friendly is low-priced,1
while the serving,1
the serving french,1
restaurant near child,1
5 but a,1
family-friendly establishment by,1
centre offers stunning,1
offers stunning italian,1
stunning italian dishes,1
italian dishes for,1
dishes for £30,1
low rating £30,1
rating £30 price,1
range pub named,1
named is kid-friendly,1
priced serves up,1
in this dining,1
dining choice near,1
choice near this,1
is less £20,1
less £20 and,1
called which cost,1
and family-friendly they,1
they provide japanese,1
5 and averagely,1
averagely priced there,1
area it ranges,1
it ranges over,1
ranges over £30,1
friendly high quality,1
high quality high,1
quality high prices,1
prices but no,1
but no highchairs,1
no highchairs is,1
highchairs is an,1
n't bring junior,1
bring junior in,1
junior in the,1
than £20 looking,1
£20 looking for,1
try it received,1
n't family-friendly sat,1
family-friendly sat on,1
serving a french,1
also not recommended,1
high prices japanese,1
prices japanese is,1
japanese is pub,1
pub riverside the,1
rating of was,1
of was high,1
was high charging,1
high charging more,1
well liked coffee,1
liked coffee shop,1
average price i,1
price i visited,1
i visited a,1
visited a coffee,1
that served japanese,1
price it was,1
it was n't,1
was n't very,1
very good though,1
good though it,1
it 's reviews,1
's reviews are,1
reviews are only,1
are only 1,1
rating visit the,1
visit the one-star,1
the one-star pub,1
one-star pub located,1
of 5 adult,1
5 adult establishment,1
adult establishment rated,1
found near for,1
near for £20-25,1
a cheap cost,1
cheap cost on,1
cost on average,1
on average rated,1
for really cheap,1
really cheap costs,1
cheap costs its,1
to dine with,1
dine with friends,1
with friends located,1
friends located right,1
center a pub,1
of 5 non-family-friendly,1
5 non-family-friendly pub,1
cuisine a family,1
family-friendly serves fast-food,1
family-friendly for inexpensive,1
visit pub situated,1
25 pounds for,1
pounds for an,1
italian meal head,1
meal head for,1
head for public,1
for public house,1
reasonably priced 3-star,1
rated near in,1
riverside area adult,1
area adult oriented,1
prices and comes,1
highly recommended as,1
recommended as a,1
under £20 if,1
go to has,1
this restaurant with,1
establishment and located,1
called for fine,1
fine dining check,1
dining check out,1
out a fast,1
highly priced 5,1
to get good,1
get good food,1
good food there,1
but also an,1
also an average,1
rating its close,1
the with the,1
name of its,1
of its customer,1
premium priced venue,1
place called you,1
called you 're,1
£30 per serving,1
per serving the,1
serving the customer,1
low and you,1
whole family so,1
family so it,1
not recommended serves,1
recommended serves english,1
food priced from,1
priced from 20-25.,1
fairly inexpensive wine,1
inexpensive wine tasting,1
and cheese not,1
cheese not family,1
friendly serve wine,1
the perfect chinese,1
perfect chinese food,1
restaurant and ideal,1
for children given,1
children given their,1
family friendly does,1
friendly does not,1
serve families but,1
families but they,1
are a 5,1
mid-price place join,1
the riverside stands,1
riverside stands kids-friendly,1
stands kids-friendly pub,1
kids-friendly pub high,1
pub high rated,1
high rated the,1
is in its,1
in its price,1
high cost a,1
l30 the offers,1
food restaurant no,1
restaurant no children,1
euros there 's,1
food this experience,1
this experience received,1
experience received a,1
5 review in,1
area located riverside,1
£20-25 and have,1
average japanese family-friendly,1
establishment a 1,1
is situated 1,1
situated 1 mile,1
1 mile from,1
from the town,1
and is accessible,1
is accessible by,1
accessible by all,1
by all means,1
all means of,1
means of public,1
of public transport,1
public transport it,1
transport it is,1
is not because,1
not because we,1
because we do,1
n't like children,1
like children it,1
it is purely,1
is purely that,1
purely that we,1
that we wish,1
we wish for,1
wish for our,1
our adult audience,1
adult audience to,1
audience to take,1
to take time,1
take time out,1
time out to,1
out to relax,1
relax and have,1
and have time,1
have time to,1
time to them,1
to them selves,1
them selves come,1
selves come for,1
shop offering cheaply,1
offering cheaply priced,1
cheaply priced french,1
centre for £20-25,1
centre for fast,1
food go down,1
go down near,1
down near as,1
near as there,1
as there is,1
customer rating another,1
rating another great,1
another great riverside,1
great riverside pub,1
the its located,1
located near so,1
near so its,1
so its an,1
its an easy,1
an easy commute,1
easy commute whenever,1
commute whenever my,1
whenever my friends,1
my friends and,1
friends and i,1
and i desire,1
i desire some,1
desire some great,1
some great italian,1
the is our,1
is our place,1
our place to,1
go is not,1
families but offers,1
expensive near that,1
decent reviews called,1
reviews called there,1
is also great,1
also great for,1
wine bar the,1
bar the children,1
is currently at,1
currently at a,1
family-friendly customers gave,1
is high to,1
high to eat,1
rating called yes,1
rating down the,1
from is the,1
is the 5-star,1
the 5-star sushi,1
friend it serves,1
friendly establishment reasonably,1
establishment reasonably priced,1
found in near,1
family-friendly that 's,1
that 's serves,1
's serves japanese,1
serves japanese with,1
rating near city,1
foods is high,1
food restaurant rating,1
medium priced fast,1
an adequate for,1
adequate for family,1
for family restaurant,1
serves all kinds,1
all kinds of,1
of food riverside,1
are kid-friendly the,1
kid-friendly the customer,1
range is with,1
customer rating fitzbilies,1
rating fitzbilies coffee,1
fitzbilies coffee shop,1
riverside located the,1
located the in,1
the in center,1
than f30 a,1
f30 a meal,1
the a non-children,1
friendly it received,1
it received three,1
five stars coffee,1
rating an average-priced,1
average-priced restaurant that,1
food is from,1
from £30 you,1
dine at which,1
range more an,1
more an £30,1
an £30 highly,1
highly rated easy,1
rated easy to,1
to find near,1
find near the,1
centre named that,1
expensive chinese pub,1
pub serves hamburgers,1
french fries they,1
riverfront near the,1
family-friendly restaurant centre,1
restaurant centre near,1
priced restaurant across,1
restaurant across from,1
the it scored,1
it scored 5,1
scored 5 out,1
has expensive italian,1
good price for,1
price for all,1
the family fast,1
for this next,1
this next pub,1
next pub restaurant,1
pub restaurant only,1
restaurant only scores,1
only scores a,1
scores a 3,1
in the trendy,1
the trendy riverside,1
trendy riverside area,1
of town there,1
town there is,1
inexpensive but although,1
friendly the reviews,1
an inexpensive five,1
inexpensive five star,1
shop setting and,1
pricey side the,1
side the moderately-priced,1
the moderately-priced can,1
moderately-priced can be,1
food there but,1
there but leave,1
at home because,1
home because it,1
shop is fairly,1
fairly expensive and,1
expensive and received,1
atmosphere at located,1
and have higher,1
have higher than,1
average prices did,1
prices did you,1
did you hear,1
you hear about,1
hear about the,1
about the children,1
choice for an,1
shop that rejects,1
that rejects a,1
rejects a familial,1
a familial atmosphere,1
familial atmosphere with,1
shop an adults-only,1
adults-only pub called,1
£20 pounds located,1
1 star of,1
star of a,1
possible 5 that,1
also located by,1
friendly highly related,1
highly related indian,1
related indian restaurant,1
euro 's it,1
's it is,1
high pub located,1
is french at,1
and ratings located,1
an low price,1
a family-friendly ambient,1
family-friendly ambient by,1
ambient by the,1
riverside however is,1
5-star rating for,1
and a low-cost,1
a low-cost menu,1
low-cost menu it,1
japanese restaurant where,1
eat for more,1
prices are found,1
are found at,1
found at an,1
at an indian,1
family-friendly place out,1
place out by,1
out by it,1
it 's usually,1
's usually under,1
usually under 20,1
under 20 japanese,1
20 japanese coffee,1
not family-friendly while,1
indian menu its,1
menu its rating,1
its rating from,1
from customers are,1
customers are average,1
the menu items,1
items are quite,1
quite high in,1
price the japanese,1
establishment and as,1
with customers restaurant,1
price called is,1
they offer drink,1
offer drink at,1
stars the french,1
then 30 pounds,1
restaurant the only,1
it is somewhat,1
somewhat pricey near,1
pricey near is,1
adult oriented fast,1
oriented fast food,1
5 customers ratings,1
customers ratings near,1
food the above,1
the excellent food,1
the a city,1
italian restaurant boasts,1
boasts a peaceful,1
a peaceful child-free,1
peaceful child-free atmosphere,1
child-free atmosphere and,1
a trendy coffee,1
trendy coffee shop,1
shop with about,1
a average french,1
can have coffee,1
have coffee and,1
coffee and the,1
centre near lives,1
near lives up,1
lives up to,1
up to its,1
at 20-25 pounds,1
pounds a dish,1
a dish near,1
dish near in,1
called is burger,1
is burger joint,1
high-priced and accessible,1
and accessible for,1
accessible for families,1
variety of low-priced,1
of low-priced menu,1
low-priced menu options,1
menu options located,1
options located by,1
an indian of,1
indian of moderate,1
area it was,1
was a customer,1
5 servers averagely,1
servers averagely priced,1
city is called,1
a great way,1
great way to,1
way to eat,1
eat with its,1
with its affordable,1
its affordable coffee,1
and yes also,1
yes also kids,1
and serve moderate,1
serve moderate priced,1
a riverside serves,1
named the atmosphere,1
atmosphere is very,1
of thirty and,1
thirty and up,1
and up coffee,1
up coffee shop,1
shop near serve,1
near serve japanese,1
friendly however located,1
however located near,1
english food café,1
riverside the a,1
the a rating,1
that has five,1
's called children,1
called children friendly,1
a moderately high,1
moderately high price,1
children the near,1
the pricing located,1
japanese pub eat,1
pub eat for,1
£25 at the,1
riverside food at,1
at is outstanding,1
is outstanding featuring,1
outstanding featuring english,1
food we 've,1
we 've been,1
've been given,1
this pub type,1
eatery is priced,1
area try customer,1
try customer ratings,1
family-friendly a great,1
family-friendly riverside venue,1
riverside venue within,1
venue within the,1
within the low,1
low price-range that,1
price-range that serves,1
child-friendly and moderately,1
is both children,1
both children friendly,1
customers is on,1
it costs £20,1
costs £20 £25,1
£20 £25 to,1
£25 to eat,1
eat there and,1
there and has,1
more expensive has,1
and coffee near,1
coffee near highly,1
from a family,1
place named highly,1
kid friendly from,1
friendly from £20-25,1
from £20-25 next,1
£20-25 next to,1
called english cuisine,1
expensive high quality,1
quality restaurant suitable,1
atmosphere and 5,1
low price rated,1
stars pub is,1
pub with healthy,1
review located in,1
place a low,1
rating may not,1
friendly but chinese,1
but chinese food,1
it at is,1
are friendly child,1
it receives excellent,1
receives excellent reviews,1
excellent reviews with,1
reviews with meals,1
with meals averaging,1
meals averaging at,1
averaging at £30,1
at £30 near,1
range this adult,1
average priced around,1
in the higher-than-average,1
the higher-than-average price,1
higher-than-average price range,1
called here they,1
riverside with poor,1
with poor reviews,1
high price sits,1
price sits is,1
italian cuisine to,1
cuisine to its,1
its customers customer,1
customers customer feedback,1
customer feedback at,1
feedback at present,1
at present currently,1
present currently indicates,1
currently indicates that,1
indicates that it,1
low rating compared,1
rating compared to,1
to other establishments,1
other establishments has,1
establishments has a,1
with moderate rating,1
centre an upscale,1
center for english,1
are located beside,1
located beside has,1
beside has 3,1
and is worth,1
is worth more,1
worth more money,1
more money has,1
money has an,1
prices and kids,1
price restaurant close,1
is aimed for,1
aimed for adults,1
moderate located next,1
a one-starred spaghetti,1
one-starred spaghetti restaurant,1
spaghetti restaurant suitable,1
those with young,1
young children customers,1
children customers have,1
the restaurant situated,1
as average child-friendly,1
average child-friendly pub,1
that provides low-cost,1
provides low-cost take-away,1
low-cost take-away there,1
is rated excellently,1
rated excellently with,1
excellently with 5,1
20 offers a,1
a service pub,1
service pub located,1
well liked restaurant,1
liked restaurant located,1
atmosphere with selections,1
with selections for,1
offers wine in,1
an italian fine,1
italian fine dining,1
high end diner,1
end diner charging,1
diner charging £20-25,1
